Plate_number	Sample_name	Replicate	Sample_type	Treatment	Blanking_group	Dilution_factor	Standard_group	Ave_abs_blanked	StdDev_abs_blanked	Ave_concentration	StdDev_concentration	Concentration_units
2	t4_15	1	Unknown	FeTot	FeTot	1.09	1	0.07675	0.000777817	111.8107373	1.133138027	uM
2	t4_16	1	Unknown	Fe2	Fe2	1.09	1	0.03875	0.001555635	56.45167516	2.266276054	uM
2	t4_16	1	Unknown	FeTot	FeTot	1.09	1	0.08215	0.000919239	119.6775513	1.339163123	uM
2	t4_2	1	Unknown	Fe2	Fe2	1.09	1	0.07065	0.001414214	102.924151	2.060250958	uM
2	t4_2	1	Unknown	FeTot	FeTot	1.09	1	0.087	0.001555635	126.7431159	2.266276054	uM
2	t4_3	1	Unknown	Fe2	Fe2	1.09	1	0.038	0.000212132	55.3590621	0.309037644	uM
2	t4_3	1	Unknown	FeTot	FeTot	1.09	1	0.07035	0.00106066	102.4871058	1.545188219	uM
2	t4_4	1	Unknown	Fe2	Fe2	1.09	1	0.0436	0.000777817	63.51723967	1.133138027	uM
2	t4_4	1	Unknown	FeTot	FeTot	1.09	1	0.08225	0.003747666	119.8232331	5.45966504	uM
2	t4_5	1	Unknown	Fe2	Fe2	1.09	1	0.03325	0.000282843	48.43917933	0.412050192	uM
2	t4_5	1	Unknown	FeTot	FeTot	1.09	1	0.0714	0.000848528	104.016764	1.236150575	uM
2	t4_6	1	Unknown	Fe2	Fe2	1.09	1	0.03715	0.000141421	54.12076729	0.206025096	uM
2	t4_6	1	Unknown	FeTot	FeTot	1.09	1	0.07525	0.001343503	109.6255111	1.95723841	uM
2	t4_7	1	Unknown	Fe2	Fe2	1.09	1	0.06985	0.002404163	101.758697	3.502426629	uM
2	t4_7	1	Unknown	FeTot	FeTot	1.09	1	0.0847	0.000565685	123.3924358	0.824100383	uM
2	t4_8	1	Unknown	Fe2	Fe2	1.09	1	0.06055	0.000424264	88.210295	0.618075288	uM
2	t4_8	1	Unknown	FeTot	FeTot	1.09	1	0.0782	0.001131371	113.9231225	1.648200767	uM
2	t4_9	1	Unknown	Fe2	Fe2	1.09	1	0.0513	0.001202082	74.73473383	1.751213315	uM
2	t4_9	1	Unknown	FeTot	FeTot	1.09	1	0.0802	0.000989949	116.8367574	1.442175671	uM
